time,ecg2,sequence_counter,packet_size
NaN,-1.720000000e+02,7040354.12,
NaN,-2.210000000e+02,7040354.13,
NaN,-1.360000000e+02,7040354.14,
NaN,-1.990000000e+02,7040354.15,
NaN,-1.700000000e+02,7040354.16,
NaN,-1.560000000e+02,7040354.17,
NaN,-2.290000000e+02,7040354.18,
NaN,-1.720000000e+02,7040354.19,
NaN,-2.360000000e+02,7040354.20,
NaN,-1.960000000e+02,7040354.21,
NaN,-1.600000000e+02,7040354.22,
NaN,-2.650000000e+02,7040354.23,
NaN,-1.800000000e+02,7040354.24,
NaN,-2.060000000e+02,7040354.25,
NaN,-2.090000000e+02,7040354.26,
NaN,-1.220000000e+02,7040354.27,
NaN,-8.800000000e+01,7040354.28,
NaN,1.900000000e+02,7040354.29,
23150540312,2.620000000e+02,7040354.30,
NaN,3.260000000e+02,7040355.00,31
NaN,6.150000000e+02,7040355.01,
NaN,5.260000000e+02,7040355.02,
NaN,4.840000000e+02,7040355.03,
NaN,4.100000000e+02,7040355.04,
NaN,9.600000000e+01,7040355.05,
NaN,-5.700000000e+01,7040355.06,
NaN,-2.350000000e+02,7040355.07,
NaN,-2.860000000e+02,7040355.08,
NaN,-2.930000000e+02,7040355.09,
NaN,-3.480000000e+02,7040355.10,
NaN,-2.650000000e+02,7040355.11,
NaN,-3.120000000e+02,7040355.12,
NaN,-2.760000000e+02,7040355.13,
NaN,-2.390000000e+02,7040355.14,
NaN,-2.500000000e+02,7040355.15,
NaN,-2.230000000e+02,7040355.16,
NaN,-3.360000000e+02,7040355.17,
NaN,3.730000000e+02,7040355.18,
NaN,1.706000000e+03,7040355.19,
NaN,3.439000000e+03,7040355.20,
NaN,4.175000000e+03,7040355.21,
NaN,1.579000000e+03,7040355.22,
NaN,-4.790000000e+02,7040355.23,
NaN,-1.420000000e+02,7040355.24,
NaN,-1.850000000e+02,7040355.25,
NaN,-2.050000000e+02,7040355.26,
NaN,-1.130000000e+02,7040355.27,
NaN,-1.990000000e+02,7040355.28,
NaN,-9.100000000e+01,7040355.29,
23150548247,-1.550000000e+02,7040355.30,
NaN,-9.100000000e+01,7040356.00,31
NaN,2.000000000e+00,7040356.01,
NaN,-3.300000000e+01,7040356.02,
NaN,9.500000000e+01,7040356.03,
NaN,1.020000000e+02,7040356.04,
NaN,1.490000000e+02,7040356.05,
NaN,2.380000000e+02,7040356.06,
NaN,2.010000000e+02,7040356.07,
NaN,3.470000000e+02,7040356.08,
NaN,3.780000000e+02,7040356.09,
NaN,3.950000000e+02,7040356.10,
NaN,5.220000000e+02,7040356.11,
NaN,5.010000000e+02,7040356.12,
NaN,6.060000000e+02,7040356.13,
NaN,6.720000000e+02,7040356.14,
NaN,6.960000000e+02,7040356.15,
NaN,8.080000000e+02,7040356.16,
