time,accel.z,sequence_counter,packet_size
NaN,4.218000000e+03,7042729.08,
NaN,4.295000000e+03,7042729.09,
NaN,4.278000000e+03,7042729.10,
23150583289,4.233000000e+03,7042729.11,
NaN,4.213000000e+03,7042730.00,12
NaN,4.214000000e+03,7042730.01,
NaN,4.258000000e+03,7042730.02,
NaN,4.232000000e+03,7042730.03,
NaN,4.170000000e+03,7042730.04,
NaN,4.127000000e+03,7042730.05,
NaN,4.246000000e+03,7042730.06,
NaN,4.358000000e+03,7042730.07,
NaN,4.324000000e+03,7042730.08,
NaN,4.282000000e+03,7042730.09,
NaN,4.275000000e+03,7042730.10,
23150587246,4.289000000e+03,7042730.11,
NaN,4.283000000e+03,7042731.00,12
NaN,4.262000000e+03,7042731.01,
NaN,4.287000000e+03,7042731.02,
NaN,4.322000000e+03,7042731.03,
NaN,4.296000000e+03,7042731.04,
NaN,4.314000000e+03,7042731.05,
NaN,4.408000000e+03,7042731.06,
NaN,4.448000000e+03,7042731.07,
NaN,4.104000000e+03,7042731.08,
NaN,4.065000000e+03,7042731.09,
NaN,4.337000000e+03,7042731.10,
23150591203,4.160000000e+03,7042731.11,
NaN,4.151000000e+03,7042732.00,12
NaN,4.478000000e+03,7042732.01,
NaN,4.573000000e+03,7042732.02,
NaN,4.355000000e+03,7042732.03,
NaN,4.170000000e+03,7042732.04,
NaN,4.150000000e+03,7042732.05,
NaN,4.288000000e+03,7042732.06,
NaN,4.277000000e+03,7042732.07,
NaN,4.291000000e+03,7042732.08,
NaN,4.327000000e+03,7042732.09,
NaN,4.310000000e+03,7042732.10,
23150595160,4.291000000e+03,7042732.11,
NaN,4.265000000e+03,7042733.00,12
NaN,4.267000000e+03,7042733.01,
NaN,4.253000000e+03,7042733.02,
NaN,4.238000000e+03,7042733.03,
NaN,4.194000000e+03,7042733.04,
NaN,4.163000000e+03,7042733.05,
NaN,4.256000000e+03,7042733.06,
NaN,4.291000000e+03,7042733.07,
NaN,4.251000000e+03,7042733.08,
NaN,4.186000000e+03,7042733.09,
NaN,4.171000000e+03,7042733.10,
23150599118,4.143000000e+03,7042733.11,
NaN,4.182000000e+03,7042734.00,12
NaN,4.192000000e+03,7042734.01,
NaN,4.169000000e+03,7042734.02,
NaN,4.128000000e+03,7042734.03,
NaN,4.123000000e+03,7042734.04,
NaN,4.153000000e+03,7042734.05,
NaN,4.171000000e+03,7042734.06,
NaN,4.185000000e+03,7042734.07,
NaN,4.189000000e+03,7042734.08,
NaN,4.226000000e+03,7042734.09,
NaN,4.213000000e+03,7042734.10,
23150603074,4.203000000e+03,7042734.11,
NaN,4.259000000e+03,7042735.00,12
NaN,4.242000000e+03,7042735.01,
NaN,4.234000000e+03,7042735.02,
NaN,4.260000000e+03,7042735.03,
NaN,4.246000000e+03,7042735.04,
NaN,4.237000000e+03,7042735.05,
NaN,4.300000000e+03,7042735.06,
NaN,4.365000000e+03,7042735.07,
NaN,4.290000000e+03,7042735.08,
NaN,4.260000000e+03,7042735.09,
NaN,4.256000000e+03,7042735.10,
23150607031,4.243000000e+03,7042735.11,
NaN,4.259000000e+03,7042736.00,12
NaN,4.283000000e+03,7042736.01,
NaN,4.254000000e+03,7042736.02,
NaN,4.256000000e+03,7042736.03,
NaN,4.258000000e+03,7042736.04,
NaN,4.238000000e+03,7042736.05,
NaN,4.219000000e+03,7042736.06,
NaN,4.232000000e+03,7042736.07,
NaN,4.190000000e+03,7042736.08,
NaN,4.155000000e+03,7042736.09,
NaN,4.159000000e+03,7042736.10,
23150610989,4.207000000e+03,7042736.11,
NaN,4.191000000e+03,7042737.00,12
NaN,4.214000000e+03,7042737.01,
NaN,4.183000000e+03,7042737.02,
NaN,4.182000000e+03,7042737.03,
NaN,4.228000000e+03,7042737.04,
NaN,4.301000000e+03,7042737.05,
NaN,4.266000000e+03,7042737.06,
NaN,4.332000000e+03,7042737.07,
NaN,4.275000000e+03,7042737.08,
NaN,4.008000000e+03,7042737.09,
NaN,4.084000000e+03,7042737.10,
23150614947,4.249000000e+03,7042737.11,
NaN,4.023000000e+03,7042738.00,12
NaN,3.983000000e+03,7042738.01,
NaN,4.354000000e+03,7042738.02,
NaN,4.474000000e+03,7042738.03,
