time,ecg2,sequence_counter,packet_size
NaN,4.200000000e+01,7014355.09,
NaN,-2.200000000e+01,7014355.10,
NaN,1.000000000e+00,7014355.11,
NaN,1.200000000e+01,7014355.12,
NaN,5.300000000e+01,7014355.13,
NaN,8.900000000e+01,7014355.14,
NaN,1.800000000e+02,7014355.15,
NaN,1.600000000e+02,7014355.16,
NaN,3.500000000e+01,7014355.17,
NaN,1.140000000e+02,7014355.18,
NaN,1.620000000e+02,7014355.19,
NaN,-2.200000000e+01,7014355.20,
NaN,-8.300000000e+01,7014355.21,
NaN,-7.000000000e+00,7014355.22,
NaN,-2.200000000e+01,7014355.23,
NaN,6.000000000e+00,7014355.24,
NaN,3.300000000e+01,7014355.25,
NaN,-7.400000000e+01,7014355.26,
NaN,-1.080000000e+02,7014355.27,
NaN,-1.060000000e+02,7014355.28,
NaN,-1.250000000e+02,7014355.29,
22999272445,-6.000000000e+01,7014355.30,
NaN,-8.300000000e+01,7014356.00,31
NaN,-5.000000000e+01,7014356.01,
NaN,2.400000000e+02,7014356.02,
NaN,4.090000000e+02,7014356.03,
NaN,4.260000000e+02,7014356.04,
NaN,6.090000000e+02,7014356.05,
NaN,6.770000000e+02,7014356.06,
NaN,5.470000000e+02,7014356.07,
NaN,4.710000000e+02,7014356.08,
NaN,3.200000000e+02,7014356.09,
NaN,1.800000000e+01,7014356.10,
NaN,-2.540000000e+02,7014356.11,
NaN,-2.920000000e+02,7014356.12,
NaN,-2.640000000e+02,7014356.13,
NaN,-3.630000000e+02,7014356.14,
NaN,-3.910000000e+02,7014356.15,
NaN,-3.800000000e+02,7014356.16,
NaN,-3.940000000e+02,7014356.17,
NaN,-3.690000000e+02,7014356.18,
NaN,-5.560000000e+02,7014356.19,
NaN,-2.860000000e+02,7014356.20,
NaN,8.430000000e+02,7014356.21,
NaN,2.459000000e+03,7014356.22,
NaN,3.953000000e+03,7014356.23,
NaN,2.617000000e+03,7014356.24,
NaN,-2.870000000e+02,7014356.25,
NaN,-8.270000000e+02,7014356.26,
NaN,-5.680000000e+02,7014356.27,
NaN,-7.070000000e+02,7014356.28,
NaN,-5.740000000e+02,7014356.29,
22999280380,-5.970000000e+02,7014356.30,
NaN,-5.240000000e+02,7014357.00,31
NaN,-4.390000000e+02,7014357.01,
NaN,-5.280000000e+02,7014357.02,
NaN,-4.830000000e+02,7014357.03,
NaN,-3.930000000e+02,7014357.04,
NaN,-3.270000000e+02,7014357.05,
NaN,-2.750000000e+02,7014357.06,
NaN,-2.710000000e+02,7014357.07,
NaN,-1.680000000e+02,7014357.08,
NaN,-6.300000000e+01,7014357.09,
NaN,-5.900000000e+01,7014357.10,
NaN,-8.600000000e+01,7014357.11,
NaN,-1.830000000e+02,7014357.12,
NaN,-1.720000000e+02,7014357.13,
NaN,-1.000000000e+01,7014357.14,
NaN,9.600000000e+01,7014357.15,
NaN,1.680000000e+02,7014357.16,
NaN,2.370000000e+02,7014357.17,
NaN,2.450000000e+02,7014357.18,
NaN,2.180000000e+02,7014357.19,
NaN,2.100000000e+02,7014357.20,
NaN,1.780000000e+02,7014357.21,
NaN,1.780000000e+02,7014357.22,
NaN,2.050000000e+02,7014357.23,
NaN,1.460000000e+02,7014357.24,
NaN,1.370000000e+02,7014357.25,
NaN,1.900000000e+02,7014357.26,
NaN,1.620000000e+02,7014357.27,
NaN,8.100000000e+01,7014357.28,
NaN,4.200000000e+01,7014357.29,
22999288315,4.100000000e+01,7014357.30,
NaN,1.600000000e+01,7014358.00,31
NaN,9.000000000e+00,7014358.01,
NaN,-2.300000000e+01,7014358.02,
NaN,-8.000000000e+01,7014358.03,
NaN,-9.100000000e+01,7014358.04,
NaN,-8.900000000e+01,7014358.05,
NaN,1.200000000e+01,7014358.06,
NaN,2.200000000e+01,7014358.07,
NaN,-9.000000000e+01,7014358.08,
NaN,-5.400000000e+01,7014358.09,
NaN,2.800000000e+01,7014358.10,
NaN,7.400000000e+01,7014358.11,
NaN,-3.700000000e+01,7014358.12,
NaN,-1.350000000e+02,7014358.13,
NaN,-3.800000000e+01,7014358.14,
NaN,-8.900000000e+01,7014358.15,
NaN,-1.750000000e+02,7014358.16,
NaN,-1.430000000e+02,7014358.17,
NaN,-1.390000000e+02,7014358.18,
NaN,-1.540000000e+02,7014358.19,
NaN,-1.750000000e+02,7014358.20,
NaN,-1.280000000e+02,7014358.21,
NaN,-1.330000000e+02,7014358.22,
