time,accel.z,sequence_counter,packet_size
NaN,-1.778000000e+03,7014726.09,
NaN,-1.778000000e+03,7014726.10,
22999335237,-1.774000000e+03,7014726.11,
NaN,-1.756000000e+03,7014727.00,12
NaN,-1.747000000e+03,7014727.01,
NaN,-1.684000000e+03,7014727.02,
NaN,-1.631000000e+03,7014727.03,
NaN,-1.615000000e+03,7014727.04,
NaN,-1.565000000e+03,7014727.05,
NaN,-1.577000000e+03,7014727.06,
NaN,-1.650000000e+03,7014727.07,
NaN,-1.709000000e+03,7014727.08,
NaN,-1.720000000e+03,7014727.09,
NaN,-1.648000000e+03,7014727.10,
22999339195,-1.555000000e+03,7014727.11,
NaN,-1.501000000e+03,7014728.00,12
NaN,-1.440000000e+03,7014728.01,
NaN,-1.545000000e+03,7014728.02,
NaN,-1.607000000e+03,7014728.03,
NaN,-1.563000000e+03,7014728.04,
NaN,-1.512000000e+03,7014728.05,
NaN,-1.638000000e+03,7014728.06,
NaN,-1.810000000e+03,7014728.07,
NaN,-1.770000000e+03,7014728.08,
NaN,-1.957000000e+03,7014728.09,
NaN,-1.808000000e+03,7014728.10,
22999343153,-1.308000000e+03,7014728.11,
NaN,-1.083000000e+03,7014729.00,12
NaN,-1.250000000e+03,7014729.01,
NaN,-1.502000000e+03,7014729.02,
NaN,-1.627000000e+03,7014729.03,
NaN,-1.674000000e+03,7014729.04,
NaN,-1.635000000e+03,7014729.05,
NaN,-1.509000000e+03,7014729.06,
NaN,-1.435000000e+03,7014729.07,
NaN,-1.379000000e+03,7014729.08,
NaN,-1.356000000e+03,7014729.09,
NaN,-1.378000000e+03,7014729.10,
22999347111,-1.440000000e+03,7014729.11,
NaN,-1.452000000e+03,7014730.00,12
NaN,-1.495000000e+03,7014730.01,
NaN,-1.455000000e+03,7014730.02,
NaN,-1.448000000e+03,7014730.03,
